title,genre,director,cast
Perfect Days,Drama,Wim Wenders,"Koji Yakusho, Tokio Emoto, Arisa Nakano, Miyako Tanaka"
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
Love,"Drama, Romance",Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra"
Top Gun: Maverick,"Action, Drama",Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer"
All of Us Strangers,"Drama, Fantasy, Romance",Andrew Haigh,"Andrew Scott, Paul Mescal, Carter John Grout, Jamie Bell"
I Saw the TV Glow,"Drama, Horror",Jane Schoenbrun,"Justice Smith, Brigette Lundy-Paine, Ian Foreman, Helena Howard"
Killers of the Flower Moon,"Crime, Drama, History",Martin Scorsese,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons"
The First Omen,Horror,Arkasha Stevenson,"Nell Tiger Free, Ralph Ineson, Sonia Braga, Tawfeek Barhom"
Gladiator,"Action, Adventure, Drama",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Vermines,Horror,Sébastien Vanicek,"Théo Christine, Sofia Lesaffre, Jérôme Niel, Lisa Nyarko"
Wonka,"Adventure, Comedy, Family",Paul King,"Timothée Chalamet, Gustave Die, Murray McArthur, Paul G. Raymond"
Damsel,"Action, Adventure, Fantasy",Juan Carlos Fresnadillo,"Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter"
The Equalizer,"Action, Crime, Thriller",Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour"
Mufasa: The Lion King,"Animation, Adventure, Drama",Barry Jenkins,"Aaron Pierre, Kelvin Harrison Jr., Seth Rogen, Billy Eichner"
The Lord of the Rings: The War of the Rohirrim,"Animation, Action, Adventure",Kenji Kamiyama,"Brian Cox, Miranda Otto, Michael Wildman, Shaun Dooley"
